"uf","codigo_ibge","municipio","tipo","status"
"PA","1501501","Benevides","brasao","revisao_pendente"
"PA","1501501","Benevides","bandeira","revisao_pendente"
"PA","1501576","Bom Jesus do Tocantins","brasao","revisao_pendente"
"PA","1501576","Bom Jesus do Tocantins","bandeira","revisao_pendente"
"PA","1501600","Bonito","brasao","nao_encontrado"
"PA","1501600","Bonito","bandeira","revisao_pendente"
"PA","1501709","Bragança","brasao","revisao_pendente"
"PA","1501709","Bragança","bandeira","revisao_pendente"
"PA","1501725","Brasil Novo","brasao","nao_encontrado"
"PA","1501725","Brasil Novo","bandeira","nao_encontrado"
"PA","1501758","Brejo Grande do Araguaia","brasao","nao_encontrado"
"PA","1501758","Brejo Grande do Araguaia","bandeira","nao_encontrado"
"PA","1501782","Breu Branco","brasao","revisao_pendente"
"PA","1501782","Breu Branco","bandeira","revisao_pendente"
"PA","1501808","Breves","brasao","revisao_pendente"
"PA","1501808","Breves","bandeira","revisao_pendente"
"PA","1501907","Bujaru","brasao","nao_encontrado"
"PA","1501907","Bujaru","bandeira","nao_encontrado"
"PA","1501956","Cachoeira do Piriá","brasao","revisao_pendente"
"PA","1501956","Cachoeira do Piriá","bandeira","revisao_pendente"
"PA","1502004","Cachoeira do Arari","brasao","nao_encontrado"
"PA","1502004","Cachoeira do Arari","bandeira","revisao_pendente"
"PA","1502103","Cametá","brasao","revisao_pendente"
"PA","1502103","Cametá","bandeira","revisao_pendente"
"PA","1502152","Canaã dos Carajás","brasao","revisao_pendente"
"PA","1502152","Canaã dos Carajás","bandeira","revisao_pendente"
"PA","1502202","Capanema","brasao","revisao_pendente"
"PA","1502202","Capanema","bandeira","revisao_pendente"
"PA","1502301","Capitão Poço","brasao","revisao_pendente"
"PA","1502301","Capitão Poço","bandeira","revisao_pendente"
"PA","1502400","Castanhal","brasao","revisao_pendente"
"PA","1502400","Castanhal","bandeira","revisao_pendente"
"PA","1502509","Chaves","brasao","revisao_pendente"
"PA","1502509","Chaves","bandeira","revisao_pendente"
"PA","1502608","Colares","brasao","nao_encontrado"
"PA","1502608","Colares","bandeira","nao_encontrado"
"PA","1502707","Conceição do Araguaia","brasao","revisao_pendente"
"PA","1502707","Conceição do Araguaia","bandeira","revisao_pendente"
"PA","1502756","Concórdia do Pará","brasao","nao_encontrado"
"PA","1502756","Concórdia do Pará","bandeira","revisao_pendente"
"PA","1502764","Cumaru do Norte","brasao","nao_encontrado"
"PA","1502764","Cumaru do Norte","bandeira","nao_encontrado"
"PA","1502772","Curionópolis","brasao","revisao_pendente"
"PA","1502772","Curionópolis","bandeira","revisao_pendente"
"PA","1502806","Curralinho","brasao","revisao_pendente"
"PA","1502806","Curralinho","bandeira","revisao_pendente"
"PA","1502855","Curuá","brasao","revisao_pendente"
"PA","1502855","Curuá","bandeira","revisao_pendente"
"PA","1502905","Curuçá","brasao","revisao_pendente"
"PA","1502905","Curuçá","bandeira","revisao_pendente"
"PA","1502939","Dom Eliseu","brasao","revisao_pendente"
"PA","1502939","Dom Eliseu","bandeira","revisao_pendente"
"PA","1502954","Eldorado do Carajás","brasao","nao_encontrado"
"PA","1502954","Eldorado do Carajás","bandeira","revisao_pendente"
"PA","1503002","Faro","brasao","revisao_pendente"
"PA","1503002","Faro","bandeira","revisao_pendente"
"PA","1503044","Floresta do Araguaia","brasao","revisao_pendente"
"PA","1503044","Floresta do Araguaia","bandeira","revisao_pendente"
"PA","1503077","Garrafão do Norte","brasao","nao_encontrado"
"PA","1503077","Garrafão do Norte","bandeira","revisao_pendente"
"PA","1503093","Goianésia do Pará","brasao","revisao_pendente"
"PA","1503093","Goianésia do Pará","bandeira","revisao_pendente"
"PA","1503101","Gurupá","brasao","revisao_pendente"
"PA","1503101","Gurupá","bandeira","revisao_pendente"
"PA","1503200","Igarapé-Açu","brasao","nao_encontrado"
"PA","1503200","Igarapé-Açu","bandeira","revisao_pendente"
"PA","1503309","Igarapé-Miri","brasao","revisao_pendente"
"PA","1503309","Igarapé-Miri","bandeira","revisao_pendente"
"PA","1503408","Inhangapi","brasao","nao_encontrado"
"PA","1503408","Inhangapi","bandeira","nao_encontrado"
"PA","1503457","Ipixuna do Pará","brasao","revisao_pendente"
"PA","1503457","Ipixuna do Pará","bandeira","revisao_pendente"
"PA","1503507","Irituia","brasao","revisao_pendente"
"PA","1503507","Irituia","bandeira","revisao_pendente"
"PA","1503606","Itaituba","brasao","revisao_pendente"
"PA","1503606","Itaituba","bandeira","revisao_pendente"
"PA","1503705","Itupiranga","brasao","revisao_pendente"
"PA","1503705","Itupiranga","bandeira","revisao_pendente"
"PA","1503754","Jacareacanga","brasao","nao_encontrado"
"PA","1503754","Jacareacanga","bandeira","revisao_pendente"
"PA","1503804","Jacundá","brasao","nao_encontrado"
"PA","1503804","Jacundá","bandeira","revisao_pendente"
"PA","1503903","Juruti","brasao","revisao_pendente"
"PA","1503903","Juruti","bandeira","revisao_pendente"
"PA","1504000","Limoeiro do Ajuru","brasao","nao_encontrado"
"PA","1504000","Limoeiro do Ajuru","bandeira","revisao_pendente"
"PA","1504059","Mãe do Rio","brasao","revisao_pendente"
"PA","1504059","Mãe do Rio","bandeira","revisao_pendente"
"PA","1504109","Magalhães Barata","brasao","nao_encontrado"
"PA","1504109","Magalhães Barata","bandeira","nao_encontrado"
"PA","1504208","Marabá","brasao","revisao_pendente"
"PA","1504208","Marabá","bandeira","revisao_pendente"
"PA","1504307","Maracanã","brasao","revisao_pendente"
"PA","1504307","Maracanã","bandeira","nao_encontrado"
"PA","1504406","Marapanim","brasao","nao_encontrado"
"PA","1504406","Marapanim","bandeira","nao_encontrado"
"PA","1504422","Marituba","brasao","nao_encontrado"
"PA","1504422","Marituba","bandeira","rejeitado"
"PA","1504455","Medicilândia","brasao","nao_encontrado"
"PA","1504455","Medicilândia","bandeira","nao_encontrado"
"PA","1504505","Melgaço","brasao","nao_encontrado"
"PA","1504505","Melgaço","bandeira","revisao_pendente"
"PA","1504604","Mocajuba","brasao","revisao_pendente"
"PA","1504604","Mocajuba","bandeira","revisao_pendente"
"PA","1504703","Moju","brasao","revisao_pendente"
"PA","1504703","Moju","bandeira","revisao_pendente"
"PA","1504752","Mojuí dos Campos","brasao","revisao_pendente"
"PA","1504752","Mojuí dos Campos","bandeira","revisao_pendente"
"PA","1504802","Monte Alegre","brasao","revisao_pendente"
"PA","1504802","Monte Alegre","bandeira","revisao_pendente"
"PA","1504901","Muaná","brasao","revisao_pendente"
"PA","1504901","Muaná","bandeira","revisao_pendente"
"PA","1504950","Nova Esperança do Piriá","brasao","nao_encontrado"
"PA","1504950","Nova Esperança do Piriá","bandeira","nao_encontrado"
"PA","1504976","Nova Ipixuna","brasao","revisao_pendente"
"PA","1504976","Nova Ipixuna","bandeira","revisao_pendente"
"PA","1505007","Nova Timboteua","brasao","nao_encontrado"
"PA","1505007","Nova Timboteua","bandeira","revisao_pendente"
"PA","1505031","Novo Progresso","brasao","nao_encontrado"
"PA","1505031","Novo Progresso","bandeira","revisao_pendente"
"PA","1505064","Novo Repartimento","brasao","revisao_pendente"
